bloomberg,yahoo,alpha_vantage
2914 JP,2914.T,SYMBOL_NOT_FOUND
293 HK,0293.HK,SYMBOL_NOT_FOUND
2930 JP,2930.T,SYMBOL_NOT_FOUND
294870 KS,294870.KS,SYMBOL_NOT_FOUND
298000 KS,298000.KS,SYMBOL_NOT_FOUND
298020 KS,298020.KS,SYMBOL_NOT_FOUND
298050 KS,298050.KS,SYMBOL_NOT_FOUND
3 HK,0003.HK,SYMBOL_NOT_FOUND
3002 JP,3002.T,SYMBOL_NOT_FOUND
3003 JP,3003.T,SYMBOL_NOT_FOUND
3005 NA,3005.TW,3005.AMS
3008 NA,3008.TW,3008.AMS
3023 NA,3023.TW,3023.AMS
303 HK,0303.HK,SYMBOL_NOT_FOUND
3034 JP,3034.T,SYMBOL_NOT_FOUND
3034 NA,3034.TW,3034.AMS
3035 NA,3035.TW,3035.AMS
3037 NA,3037.TW,3037.AMS
3038 JP,3038.T,SYMBOL_NOT_FOUND
3042 NA,3042.TW,3042.AMS
3044 NA,3044.TW,3044.AMS
3045 NA,3045.TW,3045.AMS
3046 JP,3046.T,SYMBOL_NOT_FOUND
3048 JP,3048.T,SYMBOL_NOT_FOUND
3050 JP,3050.T,SYMBOL_NOT_FOUND
3064 JP,3064.T,SYMBOL_NOT_FOUND
3076 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
307950 KS,307950.KS,SYMBOL_NOT_FOUND
3081 TT,3081.TWO,SYMBOL_NOT_FOUND
3085 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3086 JP,3086.T,SYMBOL_NOT_FOUND
3087 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3088 JP,3088.T,SYMBOL_NOT_FOUND
3092 JP,3092.T,SYMBOL_NOT_FOUND
3097 JP,3097.T,SYMBOL_NOT_FOUND
3099 JP,3099.T,SYMBOL_NOT_FOUND
3101 JP,3101.T,SYMBOL_NOT_FOUND
3105 JP,3105.T,SYMBOL_NOT_FOUND
3105 TT,3105.TWO,SYMBOL_NOT_FOUND
3110 JP,3110.T,SYMBOL_NOT_FOUND
3116 JP,3116.T,SYMBOL_NOT_FOUND
3139 JP,3139.T,SYMBOL_NOT_FOUND
3141 JP,3141.T,SYMBOL_NOT_FOUND
316140 KS,316140.KS,SYMBOL_NOT_FOUND
3186 JP,3186.T,SYMBOL_NOT_FOUND
3189 NA,3189.TW,3189.AMS
319660 KS,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3197 JP,3197.T,SYMBOL_NOT_FOUND
3218 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3227 TT,3227.TWO,SYMBOL_NOT_FOUND
3231 JP,3231.T,SYMBOL_NOT_FOUND
3231 NA,3231.TW,3231.AMS
327 HK,0327.HK,SYMBOL_NOT_FOUND
3288 JP,3288.T,SYMBOL_NOT_FOUND
3289 JP,3289.T,SYMBOL_NOT_FOUND
3291 JP,3291.T,SYMBOL_NOT_FOUND
3324 TT,3324.TWO,SYMBOL_NOT_FOUND
3341 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3349 JP,3349.T,SYMBOL_NOT_FOUND
3360 JP,3360.T,SYMBOL_NOT_FOUND
336260 KS,336260.KS,SYMBOL_NOT_FOUND
336370 KS,336370.KS,SYMBOL_NOT_FOUND
3376 NA,3376.TW,3376.AMS
3380 NA,3380.TW,3380.AMS
3382 JP,3382.T,SYMBOL_NOT_FOUND
3391 JP,3391.T,SYMBOL_NOT_FOUND
3395 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3397 JP,3397.T,SYMBOL_NOT_FOUND
3401 JP,3401.T,SYMBOL_NOT_FOUND
3402 JP,3402.T,SYMBOL_NOT_FOUND
3405 JP,3405.T,SYMBOL_NOT_FOUND
3406 NA,3406.TW,3406.AMS
3407 JP,3407.T,SYMBOL_NOT_FOUND
341 HK,0341.HK,SYMBOL_NOT_FOUND
3436 JP,3436.T,SYMBOL_NOT_FOUND
3443 NA,3443.TW,3443.AMS
345 HK,0345.HK,SYMBOL_NOT_FOUND
3450 NA,3450.TW,3450.AMS
3479 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3481 NA,3481.TW,3481.AMS
3533 NA,3533.TW,3533.AMS
3543 JP,3543.T,SYMBOL_NOT_FOUND
3545 NA,3545.TW,3545.AMS
3548 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3549 JP,3549.T,SYMBOL_NOT_FOUND
3563 JP,3563.T,SYMBOL_NOT_FOUND
3593 JP,3593.T,SYMBOL_NOT_FOUND
3596 NA,3596.TW,3596.AMS
3613 HK,3613.HK,SYMBOL_NOT_FOUND
3626 JP,3626.T,SYMBOL_NOT_FOUND
3632 JP,3632.T,SYMBOL_NOT_FOUND
3635 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3655 JP,3655.T,SYMBOL_NOT_FOUND
3659 JP,3659.T,SYMBOL_NOT_FOUND
3661 NA,3661.TW,3661.AMS
3665 NA,3665.TW,3665.AMS
3668 JP,3668.T,SYMBOL_NOT_FOUND
3673 NA,3673.TW,3673.AMS
3678 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3687 JP,3687.T,SYMBOL_NOT_FOUND
3706 NA,SYMBOL_NOT_FOUND,3706.AMS
3708 NA,SYMBOL_NOT_FOUND,3708.AMS
3711 NA,3711.TW,3711.AMS
3738 JP,3738.T,SYMBOL_NOT_FOUND
3762 JP,3762.T,SYMBOL_NOT_FOUND
3765 JP,3765.T,SYMBOL_NOT_FOUND
3769 JP,3769.T,SYMBOL_NOT_FOUND
3774 JP,3774.T,SYMBOL_NOT_FOUND
3857 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3861 JP,3861.T,SYMBOL_NOT_FOUND
3863 JP,3863.T,SYMBOL_NOT_FOUND
3865 JP,3865.T,SYMBOL_NOT_FOUND
388 HK,0388.HK,SYMBOL_NOT_FOUND
3880 JP,3880.T,SYMBOL_NOT_FOUND
3902 JP,3902.T,SYMBOL_NOT_FOUND
3923 JP,3923.T,SYMBOL_NOT_FOUND
3932 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
3938 JP,3938.T,SYMBOL_NOT_FOUND
3941 JP,3941.T,SYMBOL_NOT_FOUND
3966 JP,3966.T,SYMBOL_NOT_FOUND
3978 JP,3978.T,SYMBOL_NOT_FOUND
3994 JP,3994.T,SYMBOL_NOT_FOUND
4 HK,0004.HK,SYMBOL_NOT_FOUND
4004 JP,4004.T,SYMBOL_NOT_FOUND
4005 JP,4005.T,SYMBOL_NOT_FOUND
4021 JP,4021.T,SYMBOL_NOT_FOUND
4023 JP,4023.T,SYMBOL_NOT_FOUND
4028 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4042 JP,4042.T,SYMBOL_NOT_FOUND
4043 JP,4043.T,SYMBOL_NOT_FOUND
4044 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4046 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4047 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4061 JP,4061.T,SYMBOL_NOT_FOUND
4062 JP,4062.T,SYMBOL_NOT_FOUND
4063 JP,4063.T,SYMBOL_NOT_FOUND
4088 JP,4088.T,SYMBOL_NOT_FOUND
4091 JP,4091.T,SYMBOL_NOT_FOUND
4105 TT,4105.TWO,SYMBOL_NOT_FOUND
4109 JP,4109.T,SYMBOL_NOT_FOUND
4114 JP,4114.T,SYMBOL_NOT_FOUND
4118 JP,4118.T,SYMBOL_NOT_FOUND
4119 NA,4119.TW,4119.AMS
4126 TT,4126.TWO,SYMBOL_NOT_FOUND
4147 TT,4147.TWO,SYMBOL_NOT_FOUND
4151 JP,4151.T,SYMBOL_NOT_FOUND
4162 TT,4162.TWO,SYMBOL_NOT_FOUND
4182 JP,4182.T,SYMBOL_NOT_FOUND
4183 JP,4183.T,SYMBOL_NOT_FOUND
4185 JP,4185.T,SYMBOL_NOT_FOUND
4186 JP,4186.T,SYMBOL_NOT_FOUND
4188 JP,4188.T,SYMBOL_NOT_FOUND
4189 JP,4189.T,SYMBOL_NOT_FOUND
4202 JP,4202.T,SYMBOL_NOT_FOUND
4203 JP,4203.T,SYMBOL_NOT_FOUND
4204 JP,4204.T,SYMBOL_NOT_FOUND
4205 JP,4205.T,SYMBOL_NOT_FOUND
4206 JP,4206.T,SYMBOL_NOT_FOUND
4208 JP,4208.T,SYMBOL_NOT_FOUND
4246 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4290 JP,4290.T,SYMBOL_NOT_FOUND
4293 JP,4293.T,SYMBOL_NOT_FOUND
4307 JP,4307.T,SYMBOL_NOT_FOUND
4321 JP,4321.T,SYMBOL_NOT_FOUND
4324 JP,4324.T,SYMBOL_NOT_FOUND
4343 JP,4343.T,SYMBOL_NOT_FOUND
4368 JP,4368.T,SYMBOL_NOT_FOUND
4369 JP,4369.T,SYMBOL_NOT_FOUND
4384 JP,4384.T,SYMBOL_NOT_FOUND
4385 JP,4385.T,SYMBOL_NOT_FOUND
4397 JP,4397.T,SYMBOL_NOT_FOUND
4403 JP,4403.T,SYMBOL_NOT_FOUND
4423 JP,4423.T,SYMBOL_NOT_FOUND
4435 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4452 JP,4452.T,SYMBOL_NOT_FOUND
4461 JP,4461.T,SYMBOL_NOT_FOUND
4477 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4478 JP,4478.T,SYMBOL_NOT_FOUND
4480 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4483 JP,4483.T,SYMBOL_NOT_FOUND
4485 JP,4485.T,SYMBOL_NOT_FOUND
4502 JP,4502.T,SYMBOL_NOT_FOUND
4503 JP,4503.T,SYMBOL_NOT_FOUND
4506 JP,4506.T,SYMBOL_NOT_FOUND
4507 JP,4507.T,SYMBOL_NOT_FOUND
451 HK,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4516 JP,4516.T,SYMBOL_NOT_FOUND
4519 JP,4519.T,SYMBOL_NOT_FOUND
4523 JP,4523.T,SYMBOL_NOT_FOUND
4527 JP,4527.T,SYMBOL_NOT_FOUND
4528 JP,4528.T,SYMBOL_NOT_FOUND
4536 JP,4536.T,SYMBOL_NOT_FOUND
4536 NA,4536.TW,4536.AMS
4540 JP,4540.T,SYMBOL_NOT_FOUND
4541 JP,4541.T,SYMBOL_NOT_FOUND
4543 JP,4543.T,SYMBOL_NOT_FOUND
4544 JP,4544.T,SYMBOL_NOT_FOUND
4547 JP,4547.T,SYMBOL_NOT_FOUND
4549 JP,4549.T,SYMBOL_NOT_FOUND
4551 NA,SYMBOL_NOT_FOUND,4551.AMS
4552 JP,4552.T,SYMBOL_NOT_FOUND
4553 JP,4553.T,SYMBOL_NOT_FOUND
4554 JP,4554.T,SYMBOL_NOT_FOUND
4555 JP,4555.T,SYMBOL_NOT_FOUND
4565 JP,4565.T,SYMBOL_NOT_FOUND
4568 JP,4568.T,SYMBOL_NOT_FOUND
4578 JP,4578.T,SYMBOL_NOT_FOUND
4581 JP,4581.T,SYMBOL_NOT_FOUND
4587 JP,4587.T,SYMBOL_NOT_FOUND
4592 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4593 JP,4593.T,SYMBOL_NOT_FOUND
4612 JP,4612.T,SYMBOL_NOT_FOUND
4613 JP,4613.T,SYMBOL_NOT_FOUND
4626 JP,4626.T,SYMBOL_NOT_FOUND
4631 JP,4631.T,SYMBOL_NOT_FOUND
4661 JP,4661.T,SYMBOL_NOT_FOUND
4666 JP,4666.T,SYMBOL_NOT_FOUND
4676 JP,4676.T,SYMBOL_NOT_FOUND
4680 JP,4680.T,SYMBOL_NOT_FOUND
4681 JP,4681.T,SYMBOL_NOT_FOUND
4684 JP,4684.T,SYMBOL_NOT_FOUND
4689 JP,4689.T,SYMBOL_NOT_FOUND
4694 JP,4694.T,SYMBOL_NOT_FOUND
4704 JP,4704.T,SYMBOL_NOT_FOUND
4708 JP,4708.T,SYMBOL_NOT_FOUND
4716 JP,4716.T,SYMBOL_NOT_FOUND
4732 JP,4732.T,SYMBOL_NOT_FOUND
4733 JP,4733.T,SYMBOL_NOT_FOUND
4736 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4739 JP,4739.T,SYMBOL_NOT_FOUND
4751 JP,4751.T,SYMBOL_NOT_FOUND
4755 JP,4755.T,SYMBOL_NOT_FOUND
4768 JP,4768.T,SYMBOL_NOT_FOUND
4812 JP,4812.T,SYMBOL_NOT_FOUND
4816 JP,4816.T,SYMBOL_NOT_FOUND
4848 JP,4848.T,SYMBOL_NOT_FOUND
4849 JP,4849.T,SYMBOL_NOT_FOUND
4901 JP,4901.T,SYMBOL_NOT_FOUND
4902 JP,4902.T,SYMBOL_NOT_FOUND
4904 NA,4904.TW,4904.AMS
4906 NA,SYMBOL_NOT_FOUND,4906.AMS
4911 JP,4911.T,SYMBOL_NOT_FOUND
4912 JP,4912.T,SYMBOL_NOT_FOUND
4915 NA,4915.TW,4915.AMS
4917 JP,4917.T,SYMBOL_NOT_FOUND
4919 JP,4919.T,SYMBOL_NOT_FOUND
4921 JP,4921.T,SYMBOL_NOT_FOUND
4922 JP,4922.T,SYMBOL_NOT_FOUND
4927 JP,4927.T,SYMBOL_NOT_FOUND
4931 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4938 NA,4938.TW,4938.AMS
4958 NA,4958.TW,4958.AMS
4966 TT,4966.TWO,SYMBOL_NOT_FOUND
4967 JP,4967.T,SYMBOL_NOT_FOUND
4968 NA,4968.TW,4968.AMS
4970 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
4971 JP,4971.T,SYMBOL_NOT_FOUND
4974 JP,4974.T,SYMBOL_NOT_FOUND
4975 JP,4975.T,SYMBOL_NOT_FOUND
4977 NA,4977.TW,4977.AMS
4980 JP,4980.T,SYMBOL_NOT_FOUND
4985 JP,4985.T,SYMBOL_NOT_FOUND
5019 JP,5019.T,SYMBOL_NOT_FOUND
5020 JP,5020.T,SYMBOL_NOT_FOUND
5021 JP,5021.T,SYMBOL_NOT_FOUND
5101 JP,5101.T,SYMBOL_NOT_FOUND
5105 JP,5105.T,SYMBOL_NOT_FOUND
5108 JP,5108.T,SYMBOL_NOT_FOUND
5110 JP,5110.T,SYMBOL_NOT_FOUND
5201 JP,5201.T,SYMBOL_NOT_FOUND
5202 JP,5202.T,SYMBOL_NOT_FOUND
5203 NA,5203.TW,5203.AMS
5214 JP,5214.T,SYMBOL_NOT_FOUND
522 HK,0522.HK,SYMBOL_NOT_FOUND
5232 JP,5232.T,SYMBOL_NOT_FOUND
5233 JP,5233.T,SYMBOL_NOT_FOUND
5264 NA,5264.TW,5264.AMS
5269 NA,5269.TW,5269.AMS
5274 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
5301 JP,5301.T,SYMBOL_NOT_FOUND
5302 JP,5302.T,SYMBOL_NOT_FOUND
5306 TT,5306.TWO,SYMBOL_NOT_FOUND
5332 JP,5332.T,SYMBOL_NOT_FOUND
5333 JP,5333.T,SYMBOL_NOT_FOUND
5334 JP,5334.T,SYMBOL_NOT_FOUND
5347 TT,5347.TWO,SYMBOL_NOT_FOUND
5371 TT,5371.TWO,SYMBOL_NOT_FOUND
5384 JP,5384.T,SYMBOL_NOT_FOUND
5388 NA,5388.TW,5388.AMS
5393 JP,5393.T,SYMBOL_NOT_FOUND
5401 JP,5401.T,SYMBOL_NOT_FOUND
5406 JP,5406.T,SYMBOL_NOT_FOUND
5411 JP,5411.T,SYMBOL_NOT_FOUND
5423 JP,5423.T,SYMBOL_NOT_FOUND
5434 NA,5434.TW,5434.AMS
5440 JP,5440.T,SYMBOL_NOT_FOUND
5444 JP,5444.T,SYMBOL_NOT_FOUND
5463 JP,5463.T,SYMBOL_NOT_FOUND
5471 JP,5471.T,SYMBOL_NOT_FOUND
5478 TT,5478.TWO,SYMBOL_NOT_FOUND
5481 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
5486 JP,5486.T,SYMBOL_NOT_FOUND
551 HK,0551.HK,SYMBOL_NOT_FOUND
5631 JP,5631.T,SYMBOL_NOT_FOUND
570 HK,0570.HK,SYMBOL_NOT_FOUND
5703 JP,5703.T,SYMBOL_NOT_FOUND
5706 JP,5706.T,SYMBOL_NOT_FOUND
5711 JP,5711.T,SYMBOL_NOT_FOUND
5713 JP,5713.T,SYMBOL_NOT_FOUND
5714 JP,5714.T,SYMBOL_NOT_FOUND
5726 JP,5726.T,SYMBOL_NOT_FOUND
5727 JP,5727.T,SYMBOL_NOT_FOUND
5741 JP,5741.T,SYMBOL_NOT_FOUND
5801 JP,5801.T,SYMBOL_NOT_FOUND
5802 JP,5802.T,SYMBOL_NOT_FOUND
5803 JP,5803.T,SYMBOL_NOT_FOUND
5809 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
5871 NA,5871.TW,5871.AMS
5876 NA,5876.TW,5876.AMS
590 HK,0590.HK,SYMBOL_NOT_FOUND
5904 TT,5904.TWO,SYMBOL_NOT_FOUND
5929 JP,5929.T,SYMBOL_NOT_FOUND
5938 JP,5938.T,SYMBOL_NOT_FOUND
5947 JP,5947.T,SYMBOL_NOT_FOUND
5949 JP,5949.T,SYMBOL_NOT_FOUND
5991 JP,5991.T,SYMBOL_NOT_FOUND
6 HK,0006.HK,SYMBOL_NOT_FOUND
6005 JP,6005.T,SYMBOL_NOT_FOUND
6013 JP,6013.T,SYMBOL_NOT_FOUND
6028 JP,6028.T,SYMBOL_NOT_FOUND
6047 JP,6047.T,SYMBOL_NOT_FOUND
6055 JP,6055.T,SYMBOL_NOT_FOUND
6058 JP,6058.T,SYMBOL_NOT_FOUND
6080 JP,6080.T,SYMBOL_NOT_FOUND
6095 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6098 JP,6098.T,SYMBOL_NOT_FOUND
6099 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6103 JP,6103.T,SYMBOL_NOT_FOUND
6113 JP,6113.T,SYMBOL_NOT_FOUND
6121 TT,6121.TWO,SYMBOL_NOT_FOUND
6134 JP,6134.T,SYMBOL_NOT_FOUND
6135 JP,6135.T,SYMBOL_NOT_FOUND
6136 JP,6136.T,SYMBOL_NOT_FOUND
6141 JP,6141.T,SYMBOL_NOT_FOUND
6143 JP,6143.T,SYMBOL_NOT_FOUND
6146 JP,6146.T,SYMBOL_NOT_FOUND
6146 TT,6146.TWO,SYMBOL_NOT_FOUND
6147 TT,6147.TWO,SYMBOL_NOT_FOUND
6176 NA,6176.TW,6176.AMS
6178 JP,6178.T,SYMBOL_NOT_FOUND
6183 JP,6183.T,SYMBOL_NOT_FOUND
6196 NA,SYMBOL_NOT_FOUND,6196.AMS
6197 JP,6197.T,SYMBOL_NOT_FOUND
6200 JP,6200.T,SYMBOL_NOT_FOUND
6201 JP,6201.T,SYMBOL_NOT_FOUND
6202 NA,6202.TW,6202.AMS
6230 NA,6230.TW,6230.AMS
6235 JP,6235.T,SYMBOL_NOT_FOUND
6239 NA,6239.TW,6239.AMS
6258 JP,6258.T,SYMBOL_NOT_FOUND
6268 JP,6268.T,SYMBOL_NOT_FOUND
6269 JP,6269.T,SYMBOL_NOT_FOUND
6269 NA,6269.TW,6269.AMS
6271 NA,6271.TW,6271.AMS
6273 JP,6273.T,SYMBOL_NOT_FOUND
6274 TT,6274.TWO,SYMBOL_NOT_FOUND
6278 NA,SYMBOL_NOT_FOUND,6278.AMS
6279 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6285 NA,6285.TW,6285.AMS
6301 JP,6301.T,SYMBOL_NOT_FOUND
6302 JP,6302.T,SYMBOL_NOT_FOUND
6305 JP,6305.T,SYMBOL_NOT_FOUND
6315 JP,6315.T,SYMBOL_NOT_FOUND
6324 JP,6324.T,SYMBOL_NOT_FOUND
6326 JP,6326.T,SYMBOL_NOT_FOUND
6330 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
636 HK,0636.HK,SYMBOL_NOT_FOUND
6361 JP,6361.T,SYMBOL_NOT_FOUND
6366 JP,6366.T,SYMBOL_NOT_FOUND
6367 JP,6367.T,SYMBOL_NOT_FOUND
6370 JP,6370.T,SYMBOL_NOT_FOUND
6371 JP,6371.T,SYMBOL_NOT_FOUND
6376 JP,6376.T,SYMBOL_NOT_FOUND
6383 JP,6383.T,SYMBOL_NOT_FOUND
6387 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6395 JP,6395.T,SYMBOL_NOT_FOUND
6407 JP,6407.T,SYMBOL_NOT_FOUND
6409 NA,6409.TW,6409.AMS
6412 NA,6412.TW,6412.AMS
6414 NA,6414.TW,6414.AMS
6417 JP,6417.T,SYMBOL_NOT_FOUND
6425 JP,6425.T,SYMBOL_NOT_FOUND
6432 JP,6432.T,SYMBOL_NOT_FOUND
6436 JP,6436.T,SYMBOL_NOT_FOUND
6446 TT,6446.TWO,SYMBOL_NOT_FOUND
6448 JP,6448.T,SYMBOL_NOT_FOUND
6456 NA,6456.TW,6456.AMS
6460 JP,6460.T,SYMBOL_NOT_FOUND
6462 TT,6462.TWO,SYMBOL_NOT_FOUND
6464 JP,6464.T,SYMBOL_NOT_FOUND
6465 JP,6465.T,SYMBOL_NOT_FOUND
6471 JP,6471.T,SYMBOL_NOT_FOUND
6472 JP,6472.T,SYMBOL_NOT_FOUND
6473 JP,6473.T,SYMBOL_NOT_FOUND
6474 JP,6474.T,SYMBOL_NOT_FOUND
6479 JP,6479.T,SYMBOL_NOT_FOUND
6480 JP,6480.T,SYMBOL_NOT_FOUND
6481 JP,6481.T,SYMBOL_NOT_FOUND
6488 TT,6488.TWO,SYMBOL_NOT_FOUND
6498 JP,6498.T,SYMBOL_NOT_FOUND
6501 JP,6501.T,SYMBOL_NOT_FOUND
6502 JP,6502.T,SYMBOL_NOT_FOUND
6503 JP,6503.T,SYMBOL_NOT_FOUND
6504 JP,6504.T,SYMBOL_NOT_FOUND
6505 NA,6505.TW,6505.AMS
6506 JP,6506.T,SYMBOL_NOT_FOUND
6507 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6510 TT,6510.TWO,SYMBOL_NOT_FOUND
6532 JP,6532.T,SYMBOL_NOT_FOUND
6544 JP,6544.T,SYMBOL_NOT_FOUND
656 HK,0656.HK,SYMBOL_NOT_FOUND
6561 TT,6561.TWO,SYMBOL_NOT_FOUND
6569 JP,6569.T,SYMBOL_NOT_FOUND
6571 JP,6571.T,SYMBOL_NOT_FOUND
6586 JP,6586.T,SYMBOL_NOT_FOUND
6588 JP,6588.T,SYMBOL_NOT_FOUND
659 HK,0659.HK,SYMBOL_NOT_FOUND
6592 JP,6592.T,SYMBOL_NOT_FOUND
6594 JP,6594.T,SYMBOL_NOT_FOUND
66 HK,0066.HK,SYMBOL_NOT_FOUND
6622 JP,6622.T,SYMBOL_NOT_FOUND
6630 JP,6630.T,SYMBOL_NOT_FOUND
6632 JP,6632.T,SYMBOL_NOT_FOUND
6640 JP,6640.T,SYMBOL_NOT_FOUND
6641 JP,6641.T,SYMBOL_NOT_FOUND
6643 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6645 JP,6645.T,SYMBOL_NOT_FOUND
665 HK,0665.HK,SYMBOL_NOT_FOUND
6669 NA,6669.TW,6669.AMS
6670 JP,6670.T,SYMBOL_NOT_FOUND
6674 JP,6674.T,SYMBOL_NOT_FOUND
669 HK,0669.HK,SYMBOL_NOT_FOUND
6701 JP,6701.T,SYMBOL_NOT_FOUND
6702 JP,6702.T,SYMBOL_NOT_FOUND
6703 JP,6703.T,SYMBOL_NOT_FOUND
6706 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6707 JP,6707.T,SYMBOL_NOT_FOUND
6723 JP,6723.T,SYMBOL_NOT_FOUND
6724 JP,6724.T,SYMBOL_NOT_FOUND
6728 JP,6728.T,SYMBOL_NOT_FOUND
6732 TT,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6737 JP,6737.T,SYMBOL_NOT_FOUND
6740 JP,6740.T,SYMBOL_NOT_FOUND
6750 JP,6750.T,SYMBOL_NOT_FOUND
6752 JP,6752.T,SYMBOL_NOT_FOUND
6753 JP,6753.T,SYMBOL_NOT_FOUND
6754 JP,6754.T,SYMBOL_NOT_FOUND
6755 JP,6755.T,SYMBOL_NOT_FOUND
6758 JP,6758.T,SYMBOL_NOT_FOUND
6762 JP,6762.T,SYMBOL_NOT_FOUND
6770 JP,6770.T,SYMBOL_NOT_FOUND
6787 JP,6787.T,SYMBOL_NOT_FOUND
6789 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6794 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6800 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6804 JP,6804.T,SYMBOL_NOT_FOUND
6806 JP,6806.T,SYMBOL_NOT_FOUND
6807 JP,6807.T,SYMBOL_NOT_FOUND
6810 JP,6810.T,SYMBOL_NOT_FOUND
6823 HK,6823.HK,SYMBOL_NOT_FOUND
683 HK,0683.HK,SYMBOL_NOT_FOUND
6841 JP,6841.T,SYMBOL_NOT_FOUND
6845 JP,6845.T,SYMBOL_NOT_FOUND
6849 JP,6849.T,SYMBOL_NOT_FOUND
6856 JP,6856.T,SYMBOL_NOT_FOUND
6857 JP,6857.T,SYMBOL_NOT_FOUND
6861 JP,6861.T,SYMBOL_NOT_FOUND
6869 JP,6869.T,SYMBOL_NOT_FOUND
6871 JP,6871.T,SYMBOL_NOT_FOUND
6875 JP,6875.T,SYMBOL_NOT_FOUND
6890 JP,6890.T,SYMBOL_NOT_FOUND
69 HK,0069.HK,SYMBOL_NOT_FOUND
6902 JP,6902.T,SYMBOL_NOT_FOUND
6905 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
6908 JP,6908.T,SYMBOL_NOT_FOUND
6920 JP,6920.T,SYMBOL_NOT_FOUND
6923 JP,6923.T,SYMBOL_NOT_FOUND
6925 JP,6925.T,SYMBOL_NOT_FOUND
6951 JP,6951.T,SYMBOL_NOT_FOUND
6952 JP,6952.T,SYMBOL_NOT_FOUND
6954 JP,6954.T,SYMBOL_NOT_FOUND
6962 JP,6962.T,SYMBOL_NOT_FOUND
6963 JP,6963.T,SYMBOL_NOT_FOUND
6965 JP,6965.T,SYMBOL_NOT_FOUND
6966 JP,6966.T,SYMBOL_NOT_FOUND
6967 JP,6967.T,SYMBOL_NOT_FOUND
6971 JP,6971.T,SYMBOL_NOT_FOUND
6976 JP,6976.T,SYMBOL_NOT_FOUND
698 HK,0698.HK,SYMBOL_NOT_FOUND
6981 JP,6981.T,SYMBOL_NOT_FOUND
6988 JP,6988.T,SYMBOL_NOT_FOUND
6995 JP,6995.T,SYMBOL_NOT_FOUND
6996 JP,6996.T,SYMBOL_NOT_FOUND
6997 JP,6997.T,SYMBOL_NOT_FOUND
6999 JP,6999.T,SYMBOL_NOT_FOUND
7003 JP,7003.T,SYMBOL_NOT_FOUND
7011 JP,7011.T,SYMBOL_NOT_FOUND
7012 JP,7012.T,SYMBOL_NOT_FOUND
7013 JP,7013.T,SYMBOL_NOT_FOUND
7034 JP,SYMBOL_NOT_FOUND,SYMBOL_NOT_FOUND
7164 JP,7164.T,SYMBOL_NOT_FOUND
7167 JP,7167.T,SYMBOL_NOT_FOUND
7180 JP,7180.T,SYMBOL_NOT_FOUND
